fold,model,action,f1
4,hier_family_route,lint_or_typecheck,0.5692137320044297
4,hier_family_route,ask_user,0.5562790697674419
4,hier_family_route,plan_task,0.5757290686735654
4,hier_family_route,web_search,0.5737373737373738
4,hier_family_route,respond_only,0.9990356798457088
5,flat_14way,read_file,0.5012905075996559
5,flat_14way,grep_search,0.5763358778625954
5,flat_14way,list_directory,0.4106537530266343
5,flat_14way,glob_pattern,0.5731402895656516
5,flat_14way,edit_file,0.9061332160914488
5,flat_14way,write_file,0.9419354838709676
5,flat_14way,apply_patch,0.8062248995983936
5,flat_14way,run_bash,0.7370517928286853
5,flat_14way,run_tests,0.7154811715481172
5,flat_14way,lint_or_typecheck,0.4988814317673378
5,flat_14way,ask_user,0.5433526011560693
5,flat_14way,plan_task,0.5865970409051349
5,flat_14way,web_search,0.5294117647058824
5,flat_14way,respond_only,0.9985514244326412
5,hier_explore_override,read_file,0.526775956284153
5,hier_explore_override,grep_search,0.5902335456475584
5,hier_explore_override,list_directory,0.4287020109689214
5,hier_explore_override,glob_pattern,0.5907723169508525
5,hier_explore_override,edit_file,0.9188464118041584
5,hier_explore_override,write_file,0.9782244556113904
5,hier_explore_override,apply_patch,0.832381940840685
5,hier_explore_override,run_bash,0.7484662576687117
5,hier_explore_override,run_tests,0.7233138608603292
5,hier_explore_override,lint_or_typecheck,0.5156069364161849
5,hier_explore_override,ask_user,0.5588822355289421
5,hier_explore_override,plan_task,0.6052871467639015
5,hier_explore_override,web_search,0.5433526011560693
5,hier_explore_override,respond_only,0.9985514244326412
5,hier_family_route,read_file,0.5270678757900522
5,hier_family_route,grep_search,0.5931293612453032
5,hier_family_route,list_directory,0.4304726938962827
5,hier_family_route,glob_pattern,0.6024716786817713
5,hier_family_route,edit_file,0.9265486725663716
5,hier_family_route,write_file,0.984873949579832
5,hier_family_route,apply_patch,0.8563995837669095
5,hier_family_route,run_bash,0.7611865258924082
5,hier_family_route,run_tests,0.7216386554621849
5,hier_family_route,lint_or_typecheck,0.5255972696245734
5,hier_family_route,ask_user,0.5697445972495089
5,hier_family_route,plan_task,0.614687216681777
5,hier_family_route,web_search,0.557504873294347
5,hier_family_route,respond_only,0.9995171414775472
