variant,class,support,pred_count,tp,fp,fn,f1,baseline_f1,delta_vs_baseline_f1
e5,plan_task,370,383,250,133,120,0.6640106241699867,0.6702557200538358,-0.006245095883849139
e5,read_file,1284,1284,672,612,612,0.5233644859813084,0.5386078356789654,-0.01524334969765706
e5,respond_only,734,735,734,1,0,0.9993192648059904,0.9993192648059904,0.0
e5,run_bash,689,647,528,119,161,0.7904191616766467,0.7973074046372476,-0.0068882429606008655
e5,run_tests,653,648,489,159,164,0.7517294388931591,0.7691154422788605,-0.0173860033857014
e5,web_search,174,227,111,116,63,0.5536159600997507,0.6169665809768637,-0.06335062087711307
e5,write_file,199,200,198,2,1,0.9924812030075187,0.9875311720698254,0.004950030937693306
mbert,apply_patch,666,744,585,159,81,0.8297872340425532,0.8703047484053863,-0.04051751436283313
mbert,ask_user,393,452,237,215,156,0.5609467455621302,0.6135135135135135,-0.052566767951383264
mbert,edit_file,1580,1504,1410,94,170,0.914396887159533,0.9371761658031088,-0.022779278643575762
mbert,glob_pattern,783,556,424,132,359,0.6333084391336818,0.6502808988764045,-0.016972459742722656
mbert,grep_search,1473,1091,755,336,718,0.5889235569422777,0.6018590240123934,-0.012935467070115725
mbert,lint_or_typecheck,320,193,114,79,206,0.4444444444444444,0.5806451612903226,-0.1362007168458782
mbert,list_directory,651,852,325,527,326,0.4324683965402528,0.4827586206896552,-0.050290224149402374
mbert,plan_task,370,338,212,126,158,0.5988700564971752,0.6702557200538358,-0.07138566355666065
mbert,read_file,1284,1693,788,905,496,0.5293920053745381,0.5386078356789654,-0.009215830304427297
mbert,respond_only,734,735,734,1,0,0.9993192648059904,0.9993192648059904,0.0
mbert,run_bash,689,626,509,117,180,0.7741444866920152,0.7973074046372476,-0.023162917945232397
mbert,run_tests,653,834,534,300,119,0.7182246133154001,0.7691154422788605,-0.05089082896346042
mbert,web_search,174,148,63,85,111,0.391304347826087,0.6169665809768637,-0.22566223315077677
mbert,write_file,199,203,198,5,1,0.9850746268656716,0.9875311720698254,-0.002456545204153837
blend3_sanity,apply_patch,666,760,615,145,51,0.8625525946704067,0.8703047484053863,-0.007752153734979617
blend3_sanity,ask_user,393,338,227,111,166,0.6210670314637483,0.6135135135135135,0.007553517950234845
blend3_sanity,edit_file,1580,1492,1433,59,147,0.9329427083333334,0.9371761658031088,-0.004233457469775437
blend3_sanity,glob_pattern,783,659,462,197,321,0.6407766990291263,0.6502808988764045,-0.009504199847278239
blend3_sanity,grep_search,1473,1119,772,347,701,0.595679012345679,0.6018590240123934,-0.006180011666714447
blend3_sanity,lint_or_typecheck,320,357,191,166,129,0.5642540620384048,0.5806451612903226,-0.01639109925191784
blend3_sanity,list_directory,651,1129,428,701,223,0.48089887640449436,0.4827586206896552,-0.001859744285160836
blend3_sanity,plan_task,370,380,252,128,118,0.672,0.6702557200538358,0.0017442799461642178
blend3_sanity,read_file,1284,1277,680,597,604,0.5310425614994143,0.5386078356789654,-0.007565274179551107
blend3_sanity,respond_only,734,735,734,1,0,0.9993192648059904,0.9993192648059904,0.0
blend3_sanity,run_bash,689,643,528,115,161,0.7927927927927928,0.7973074046372476,-0.004514611844454786
blend3_sanity,run_tests,653,656,494,162,159,0.7547746371275783,0.7691154422788605,-0.014340805151282221
blend3_sanity,web_search,174,222,119,103,55,0.601010101010101,0.6169665809768637,-0.01595647996676275
blend3_sanity,write_file,199,202,199,3,0,0.9925187032418953,0.9875311720698254,0.004987531172069848
blend4,apply_patch,666,745,614,131,52,0.8703047484053863,0.8703047484053863,0.0
blend4,ask_user,393,347,227,120,166,0.6135135135135135,0.6135135135135135,0.0
blend4,edit_file,1580,1508,1447,61,133,0.9371761658031088,0.9371761658031088,0.0
blend4,glob_pattern,783,641,463,178,320,0.6502808988764045,0.6502808988764045,0.0
blend4,grep_search,1473,1109,777,332,696,0.6018590240123934,0.6018590240123934,0.0
blend4,lint_or_typecheck,320,331,189,142,131,0.5806451612903226,0.5806451612903226,0.0
blend4,list_directory,651,1089,420,669,231,0.4827586206896552,0.4827586206896552,0.0
blend4,plan_task,370,373,249,124,121,0.6702557200538358,0.6702557200538358,0.0
blend4,read_file,1284,1345,708,637,576,0.5386078356789654,0.5386078356789654,0.0
blend4,respond_only,734,735,734,1,0,0.9993192648059904,0.9993192648059904,0.0
blend4,run_bash,689,648,533,115,156,0.7973074046372476,0.7973074046372476,0.0
blend4,run_tests,653,681,513,168,140,0.7691154422788605,0.7691154422788605,0.0
blend4,web_search,174,215,120,95,54,0.6169665809768637,0.6169665809768637,0.0
blend4,write_file,199,202,198,4,1,0.9875311720698254,0.9875311720698254,0.0
stacker_final_soft_au_a0.9,apply_patch,666,730,611,119,55,0.8753581661891118,0.8703047484053863,0.005053417783725478
stacker_final_soft_au_a0.9,ask_user,393,326,213,113,180,0.5924895688456189,0.6135135135135135,-0.02102394466789459
stacker_final_soft_au_a0.9,edit_file,1580,1517,1436,81,144,0.927349047465289,0.9371761658031088,-0.009827118337819796
stacker_final_soft_au_a0.9,glob_pattern,783,698,465,233,318,0.6279540850776503,0.6502808988764045,-0.02232681379875423
stacker_final_soft_au_a0.9,grep_search,1473,1187,794,393,679,0.5969924812030075,0.6018590240123934,-0.004866542809385921
stacker_final_soft_au_a0.9,lint_or_typecheck,320,379,211,168,109,0.6037195994277539,0.5806451612903226,0.023074438137431263
stacker_final_soft_au_a0.9,list_directory,651,1034,429,605,222,0.5091988130563798,0.4827586206896552,0.026440192366724624
stacker_final_soft_au_a0.9,plan_task,370,372,237,135,133,0.6388140161725068,0.6702557200538358,-0.03144170388132905
stacker_final_soft_au_a0.9,read_file,1284,1215,666,549,618,0.5330132052821128,0.5386078356789654,-0.005594630396852596
stacker_final_soft_au_a0.9,respond_only,734,740,734,6,0,0.9959294436906377,0.9993192648059904,-0.003389821115352687
stacker_final_soft_au_a0.9,run_bash,689,699,552,147,137,0.7953890489913544,0.7973074046372476,-0.001918355645893155
stacker_final_soft_au_a0.9,run_tests,653,624,487,137,166,0.7627251370399374,0.7691154422788605,-0.006390305238923144
stacker_final_soft_au_a0.9,web_search,174,245,133,112,41,0.6348448687350835,0.6169665809768637,0.017878287758219757
stacker_final_soft_au_a0.9,write_file,199,203,197,6,2,0.9800995024875622,0.9875311720698254,-0.007431669582263267
blend4_soft_au_a0.9,apply_patch,666,727,619,108,47,0.8887293610911702,0.8703047484053863,0.01842461268578388
blend4_soft_au_a0.9,ask_user,393,348,231,117,162,0.6234817813765182,0.6135135135135135,0.009968267863004754
blend4_soft_au_a0.9,edit_file,1580,1524,1463,61,117,0.9426546391752577,0.9371761658031088,0.0054784733721489065
blend4_soft_au_a0.9,glob_pattern,783,634,468,166,315,0.6605504587155964,0.6502808988764045,0.010269559839191866
blend4_soft_au_a0.9,grep_search,1473,1128,803,325,670,0.6174548250672818,0.6018590240123934,0.015595801054888336
blend4_soft_au_a0.9,lint_or_typecheck,320,323,196,127,124,0.609642301710731,0.5806451612903226,0.02899714042040835
blend4_soft_au_a0.9,list_directory,651,985,422,563,229,0.5158924205378973,0.4827586206896552,0.03313379984824211
blend4_soft_au_a0.9,plan_task,370,378,259,119,111,0.6925133689839572,0.6702557200538358,0.022257648930121388
blend4_soft_au_a0.9,read_file,1284,1426,776,650,508,0.5726937269372694,0.5386078356789654,0.03408589125830397
blend4_soft_au_a0.9,respond_only,734,742,734,8,0,0.994579945799458,0.9993192648059904,-0.004739319006532461
blend4_soft_au_a0.9,run_bash,689,677,559,118,130,0.8184480234260615,0.7973074046372476,0.021140618788813903
blend4_soft_au_a0.9,run_tests,653,668,518,150,135,0.7842543527630583,0.7691154422788605,0.015138910484197798
blend4_soft_au_a0.9,web_search,174,206,121,85,53,0.6368421052631579,0.6169665809768637,0.019875524286294133
blend4_soft_au_a0.9,write_file,199,203,198,5,1,0.9850746268656716,0.9875311720698254,-0.002456545204153837
