component,segment,rows,action,support,pred_count,precision,recall,f1,scarce_support_le_14
linear,non_hist0,8676,web_search,167,172,0.5348837209302325,0.5508982035928144,0.5427728613569321,False
linear,non_hist0,8676,write_file,102,103,0.9805825242718447,0.9901960784313726,0.9853658536585366,False
stacker,all,9969,apply_patch,666,736,0.8220108695652174,0.9084084084084084,0.8630527817403709,False
stacker,all,9969,ask_user,393,327,0.6391437308868502,0.5318066157760815,0.5805555555555556,False
stacker,all,9969,edit_file,1580,1508,0.9449602122015915,0.9018987341772152,0.9229274611398963,False
stacker,all,9969,glob_pattern,783,704,0.6534090909090909,0.5874840357598978,0.6186953597848016,False
stacker,all,9969,grep_search,1473,1164,0.6537800687285223,0.5166327223353699,0.5771710276829731,False
stacker,all,9969,lint_or_typecheck,320,384,0.53125,0.6375,0.5795454545454546,False
stacker,all,9969,list_directory,651,1092,0.3901098901098901,0.6543778801843319,0.48881239242685026,False
stacker,all,9969,plan_task,370,370,0.6216216216216216,0.6216216216216216,0.6216216216216216,False
stacker,all,9969,read_file,1284,1187,0.5282224094355518,0.4883177570093458,0.5074868474301902,False
stacker,all,9969,respond_only,734,732,1.0,0.997275204359673,0.9986357435197817,False
stacker,all,9969,run_bash,689,677,0.7828655834564254,0.7692307692307693,0.7759882869692533,False
stacker,all,9969,run_tests,653,633,0.7567140600315956,0.7335375191424196,0.744945567651633,False
stacker,all,9969,web_search,174,252,0.5238095238095238,0.7586206896551724,0.6197183098591549,False
stacker,all,9969,write_file,199,203,0.9704433497536946,0.9899497487437185,0.9800995024875622,False
stacker,hist0,1293,apply_patch,0,0,0.0,0.0,0.0,True
stacker,hist0,1293,ask_user,100,30,0.5333333333333333,0.16,0.24615384615384617,False
stacker,hist0,1293,edit_file,34,29,0.9655172413793104,0.8235294117647058,0.8888888888888888,False
stacker,hist0,1293,glob_pattern,92,0,0.0,0.0,0.0,False
stacker,hist0,1293,grep_search,148,0,0.0,0.0,0.0,False
stacker,hist0,1293,lint_or_typecheck,14,1,1.0,0.07142857142857142,0.13333333333333333,True
stacker,hist0,1293,list_directory,266,672,0.3898809523809524,0.9849624060150376,0.55863539445629,False
stacker,hist0,1293,plan_task,157,233,0.6008583690987125,0.89171974522293,0.717948717948718,False
stacker,hist0,1293,read_file,209,49,0.6326530612244898,0.14832535885167464,0.24031007751937986,False
stacker,hist0,1293,respond_only,12,12,1.0,1.0,1.0,True
stacker,hist0,1293,run_bash,142,169,0.7928994082840237,0.9436619718309859,0.8617363344051447,False
stacker,hist0,1293,run_tests,15,0,0.0,0.0,0.0,False
stacker,hist0,1293,web_search,7,2,0.0,0.0,0.0,True
stacker,hist0,1293,write_file,97,96,0.9895833333333334,0.979381443298969,0.9844559585492227,False
stacker,non_hist0,8676,apply_patch,666,736,0.8220108695652174,0.9084084084084084,0.8630527817403709,False
stacker,non_hist0,8676,ask_user,293,297,0.6498316498316499,0.658703071672355,0.6542372881355932,False
stacker,non_hist0,8676,edit_file,1546,1479,0.9445571331981069,0.9036222509702458,0.9236363636363636,False
stacker,non_hist0,8676,glob_pattern,691,704,0.6534090909090909,0.6657018813314037,0.6594982078853047,False
stacker,non_hist0,8676,grep_search,1325,1164,0.6537800687285223,0.5743396226415094,0.6114905584572118,False
stacker,non_hist0,8676,lint_or_typecheck,306,383,0.5300261096605744,0.6633986928104575,0.5892597968069666,False
stacker,non_hist0,8676,list_directory,385,420,0.3904761904761905,0.42597402597402595,0.4074534161490683,False
stacker,non_hist0,8676,plan_task,213,137,0.656934306569343,0.4225352112676056,0.5142857142857142,False
stacker,non_hist0,8676,read_file,1075,1138,0.523725834797891,0.5544186046511628,0.5386353366470854,False
stacker,non_hist0,8676,respond_only,722,720,1.0,0.997229916897507,0.9986130374479889,False
stacker,non_hist0,8676,run_bash,547,508,0.7795275590551181,0.7239488117001828,0.7507109004739336,False
stacker,non_hist0,8676,run_tests,638,633,0.7567140600315956,0.7507836990595611,0.7537372147915028,False
stacker,non_hist0,8676,web_search,167,250,0.528,0.7904191616766467,0.6330935251798561,False
stacker,non_hist0,8676,write_file,102,107,0.9532710280373832,1.0,0.9760765550239234,False
encoder_proxy,all,9969,apply_patch,666,804,0.7562189054726368,0.9129129129129129,0.8272108843537415,False
encoder_proxy,all,9969,ask_user,393,331,0.6586102719033232,0.55470737913486,0.6022099447513812,False
encoder_proxy,all,9969,edit_file,1580,1445,0.9550173010380623,0.8734177215189873,0.912396694214876,False
encoder_proxy,all,9969,glob_pattern,783,637,0.7017268445839875,0.5708812260536399,0.6295774647887324,False
encoder_proxy,all,9969,grep_search,1473,1107,0.6892502258355917,0.517990495587237,0.5914728682170542,False
encoder_proxy,all,9969,lint_or_typecheck,320,364,0.521978021978022,0.59375,0.5555555555555556,False
encoder_proxy,all,9969,list_directory,651,1157,0.37337942955920483,0.663594470046083,0.4778761061946903,False
encoder_proxy,all,9969,plan_task,370,383,0.6527415143603134,0.6756756756756757,0.6640106241699867,False
encoder_proxy,all,9969,read_file,1284,1284,0.5233644859813084,0.5233644859813084,0.5233644859813084,False
encoder_proxy,all,9969,respond_only,734,735,0.998639455782313,1.0,0.9993192648059904,False
encoder_proxy,all,9969,run_bash,689,647,0.8160741885625966,0.7663280116110305,0.7904191616766467,False
encoder_proxy,all,9969,run_tests,653,648,0.7546296296296297,0.7488514548238897,0.7517294388931591,False
encoder_proxy,all,9969,web_search,174,227,0.4889867841409692,0.6379310344827587,0.5536159600997507,False
encoder_proxy,all,9969,write_file,199,200,0.99,0.9949748743718593,0.9924812030075187,False
encoder_proxy,hist0,1293,apply_patch,0,0,0.0,0.0,0.0,True
encoder_proxy,hist0,1293,ask_user,100,33,0.6363636363636364,0.21,0.3157894736842105,False
encoder_proxy,hist0,1293,edit_file,34,35,0.9428571428571428,0.9705882352941176,0.9565217391304348,False
encoder_proxy,hist0,1293,glob_pattern,92,0,0.0,0.0,0.0,False
encoder_proxy,hist0,1293,grep_search,148,0,0.0,0.0,0.0,False
encoder_proxy,hist0,1293,lint_or_typecheck,14,1,1.0,0.07142857142857142,0.13333333333333333,True
encoder_proxy,hist0,1293,list_directory,266,707,0.37623762376237624,1.0,0.5467625899280576,False
encoder_proxy,hist0,1293,plan_task,157,231,0.6190476190476191,0.910828025477707,0.7371134020618557,False
encoder_proxy,hist0,1293,read_file,209,3,0.6666666666666666,0.009569377990430622,0.018867924528301886,False
encoder_proxy,hist0,1293,respond_only,12,12,1.0,1.0,1.0,True
encoder_proxy,hist0,1293,run_bash,142,172,0.8197674418604651,0.9929577464788732,0.8980891719745223,False
encoder_proxy,hist0,1293,run_tests,15,1,0.0,0.0,0.0,False
encoder_proxy,hist0,1293,web_search,7,1,0.0,0.0,0.0,True
encoder_proxy,hist0,1293,write_file,97,97,0.9896907216494846,0.9896907216494846,0.9896907216494846,False
encoder_proxy,non_hist0,8676,apply_patch,666,804,0.7562189054726368,0.9129129129129129,0.8272108843537415,False
encoder_proxy,non_hist0,8676,ask_user,293,298,0.6610738255033557,0.6723549488054608,0.6666666666666666,False
encoder_proxy,non_hist0,8676,edit_file,1546,1410,0.9553191489361702,0.871280724450194,0.9113667117726658,False
encoder_proxy,non_hist0,8676,glob_pattern,691,637,0.7017268445839875,0.6468885672937771,0.6731927710843374,False
encoder_proxy,non_hist0,8676,grep_search,1325,1107,0.6892502258355917,0.5758490566037736,0.6274671052631579,False
encoder_proxy,non_hist0,8676,lint_or_typecheck,306,363,0.5206611570247934,0.6176470588235294,0.5650224215246636,False
encoder_proxy,non_hist0,8676,list_directory,385,450,0.3688888888888889,0.43116883116883115,0.3976047904191617,False
encoder_proxy,non_hist0,8676,plan_task,213,152,0.7039473684210527,0.5023474178403756,0.5863013698630137,False
encoder_proxy,non_hist0,8676,read_file,1075,1281,0.5230288836846214,0.6232558139534884,0.568760611205433,False
encoder_proxy,non_hist0,8676,respond_only,722,723,0.9986168741355463,1.0,0.9993079584775086,False
encoder_proxy,non_hist0,8676,run_bash,547,475,0.8147368421052632,0.7074954296160878,0.7573385518590998,False
encoder_proxy,non_hist0,8676,run_tests,638,647,0.7557959814528593,0.7664576802507836,0.7610894941634241,False
encoder_proxy,non_hist0,8676,web_search,167,226,0.4911504424778761,0.6646706586826348,0.5648854961832062,False
encoder_proxy,non_hist0,8676,write_file,102,103,0.9902912621359223,1.0,0.9951219512195122,False
blend,all,9969,apply_patch,666,760,0.8092105263157895,0.9234234234234234,0.8625525946704067,False
blend,all,9969,ask_user,393,338,0.6715976331360947,0.5776081424936387,0.6210670314637483,False
blend,all,9969,edit_file,1580,1492,0.960455764075067,0.9069620253164556,0.9329427083333334,False
blend,all,9969,glob_pattern,783,659,0.701062215477997,0.5900383141762452,0.6407766990291263,False
blend,all,9969,grep_search,1473,1119,0.6899016979445934,0.5241004752206382,0.595679012345679,False
blend,all,9969,lint_or_typecheck,320,357,0.5350140056022409,0.596875,0.5642540620384048,False
blend,all,9969,list_directory,651,1129,0.37909654561558903,0.6574500768049155,0.48089887640449436,False
blend,all,9969,plan_task,370,380,0.6631578947368421,0.6810810810810811,0.672,False
blend,all,9969,read_file,1284,1277,0.5324980422866092,0.5295950155763239,0.5310425614994143,False
blend,all,9969,respond_only,734,735,0.998639455782313,1.0,0.9993192648059904,False
blend,all,9969,run_bash,689,643,0.8211508553654744,0.7663280116110305,0.7927927927927928,False
blend,all,9969,run_tests,653,656,0.7530487804878049,0.7565084226646248,0.7547746371275783,False
blend,all,9969,web_search,174,222,0.536036036036036,0.6839080459770115,0.601010101010101,False
blend,all,9969,write_file,199,202,0.9851485148514851,1.0,0.9925187032418953,False
blend,hist0,1293,apply_patch,0,0,0.0,0.0,0.0,True
blend,hist0,1293,ask_user,100,28,0.7142857142857143,0.2,0.3125,False
blend,hist0,1293,edit_file,34,34,0.9705882352941176,0.9705882352941176,0.9705882352941176,False
blend,hist0,1293,glob_pattern,92,0,0.0,0.0,0.0,False
blend,hist0,1293,grep_search,148,0,0.0,0.0,0.0,False
blend,hist0,1293,lint_or_typecheck,14,1,1.0,0.07142857142857142,0.13333333333333333,True
blend,hist0,1293,list_directory,266,710,0.37464788732394366,1.0,0.5450819672131147,False
blend,hist0,1293,plan_task,157,235,0.625531914893617,0.9363057324840764,0.75,False
blend,hist0,1293,read_file,209,3,0.6666666666666666,0.009569377990430622,0.018867924528301886,False
blend,hist0,1293,respond_only,12,12,1.0,1.0,1.0,True
blend,hist0,1293,run_bash,142,170,0.8294117647058824,0.9929577464788732,0.9038461538461539,False
blend,hist0,1293,run_tests,15,1,0.0,0.0,0.0,False
blend,hist0,1293,web_search,7,1,0.0,0.0,0.0,True
blend,hist0,1293,write_file,97,98,0.9897959183673469,1.0,0.9948717948717949,False
blend,non_hist0,8676,apply_patch,666,760,0.8092105263157895,0.9234234234234234,0.8625525946704067,False
blend,non_hist0,8676,ask_user,293,310,0.667741935483871,0.7064846416382252,0.6865671641791045,False
blend,non_hist0,8676,edit_file,1546,1458,0.9602194787379973,0.9055627425614489,0.9320905459387483,False
blend,non_hist0,8676,glob_pattern,691,659,0.701062215477997,0.6685962373371924,0.6844444444444444,False
blend,non_hist0,8676,grep_search,1325,1119,0.6899016979445934,0.5826415094339623,0.6317512274959084,False
blend,non_hist0,8676,lint_or_typecheck,306,356,0.5337078651685393,0.6209150326797386,0.5740181268882175,False
blend,non_hist0,8676,list_directory,385,419,0.38663484486873506,0.42077922077922075,0.40298507462686567,False
blend,non_hist0,8676,plan_task,213,145,0.7241379310344828,0.49295774647887325,0.5865921787709497,False
blend,non_hist0,8676,read_file,1075,1274,0.5321821036106751,0.6306976744186047,0.5772669220945083,False
blend,non_hist0,8676,respond_only,722,723,0.9986168741355463,1.0,0.9993079584775086,False
blend,non_hist0,8676,run_bash,547,473,0.8181818181818182,0.7074954296160878,0.7588235294117647,False
blend,non_hist0,8676,run_tests,638,655,0.7541984732824427,0.774294670846395,0.7641144624903325,False
blend,non_hist0,8676,web_search,167,221,0.5384615384615384,0.7125748502994012,0.6134020618556701,False
blend,non_hist0,8676,write_file,102,104,0.9807692307692307,1.0,0.9902912621359223,False
